Mix	ST	Software
1	ST 19 (S.Typhi)	Ariba
2	ST 19 (S.Typhi)	Ariba
3	ST 19 (S.Typhi)	Ariba
4	ST 19 (S.Typhi)	Ariba
5	Low confidence	Ariba
6	Low confidence	Ariba
7	Low confidence	Ariba
8	Low confidence	Ariba
9	Low confidence	Ariba
10	Low confidence	Ariba
11	Low confidence	Ariba
12	Low confidence	Ariba
13	Low confidence	Ariba
14	Low confidence	Ariba
15	Low confidence	Ariba
16	Low confidence	Ariba
17	Low confidence	Ariba
18	Low confidence	Ariba
19	Low confidence	Ariba
20	Low confidence	Ariba
21	Low confidence	Ariba
22	Low confidence	Ariba
23	Low confidence	Ariba
24	Low confidence	Ariba
25	Low confidence	Ariba
26	Low confidence	Ariba
27	Low confidence	Ariba
28	Low confidence	Ariba
29	Low confidence	Ariba
30	Low confidence	Ariba
31	Low confidence	Ariba
32	Low confidence	Ariba
33	Low confidence	Ariba
34	Low confidence	Ariba
35	Low confidence	Ariba
36	Low confidence	Ariba
37	Low confidence	Ariba
38	Low confidence	Ariba
39	Low confidence	Ariba
40	Low confidence	Ariba
41	Low confidence	Ariba
42	Low confidence	Ariba
43	Low confidence	Ariba
44	Low confidence	Ariba
45	Low confidence	Ariba
46	Low confidence	Ariba
47	ST 365 (S.Weltevreden)	Ariba
48	ST 365 (S.Weltevreden)	Ariba
49	ST 365 (S.Weltevreden)	Ariba
1	ST 19 (S.Typhi)	mlst
2	ST 19 (S.Typhi)	mlst
3	ST 19 (S.Typhi)	mlst
4	ST 19 (S.Typhi)	mlst
5	ST 19 (S.Typhi)	mlst
6	ST 19 (S.Typhi)	mlst
7	ST 19 (S.Typhi)	mlst
8	Low confidence	mlst
9	ST 19 (S.Typhi)	mlst
10	Low confidence	mlst
11	Low confidence	mlst
12	Low confidence	mlst
13	Low confidence	mlst
14	Low confidence	mlst
15	Low confidence	mlst
16	Low confidence	mlst
17	Low confidence	mlst
18	Low confidence	mlst
19	Low confidence	mlst
20	Low confidence	mlst
21	Low confidence	mlst
22	Low confidence	mlst
23	Low confidence	mlst
24	Low confidence	mlst
25	Low confidence	mlst
26	Low confidence	mlst
27	Low confidence	mlst
28	Low confidence	mlst
29	Low confidence	mlst
30	Low confidence	mlst
31	Low confidence	mlst
32	ST 365 (S.Weltevreden)	mlst
33	ST 365 (S.Weltevreden)	mlst
34	ST 365 (S.Weltevreden)	mlst
35	ST 365 (S.Weltevreden)	mlst
36	ST 365 (S.Weltevreden)	mlst
37	ST 365 (S.Weltevreden)	mlst
38	ST 365 (S.Weltevreden)	mlst
39	ST 365 (S.Weltevreden)	mlst
40	ST 365 (S.Weltevreden)	mlst
41	ST 365 (S.Weltevreden)	mlst
42	ST 365 (S.Weltevreden)	mlst
43	ST 365 (S.Weltevreden)	mlst
44	ST 365 (S.Weltevreden)	mlst
45	ST 365 (S.Weltevreden)	mlst
46	ST 365 (S.Weltevreden)	mlst
47	ST 365 (S.Weltevreden)	mlst
48	ST 365 (S.Weltevreden)	mlst
49	ST 365 (S.Weltevreden)	mlst
1	ST 19 (S.Typhi)	MLSTcheck
2	ST 19 (S.Typhi)	MLSTcheck
3	ST 19 (S.Typhi)	MLSTcheck
4	ST 19 (S.Typhi)	MLSTcheck
5	ST 19 (S.Typhi)	MLSTcheck
6	ST 19 (S.Typhi)	MLSTcheck
7	ST 19 (S.Typhi)	MLSTcheck
8	Low confidence	MLSTcheck
